eps,theta,alpha_t,alpha_n,eac,err_t,err_n,events
0.4,15,0.5624037444021253,0.5877237185261099,0.3599273460754253,0.028385411320808136,0.005208813427913471,2500
0.4,30,0.41919257947650435,0.4695361395396254,0.2806697289231503,0.013989505573676292,0.005648142266956244,2500
0.4,45,0.3667268653606426,0.18433221957507728,0.2300348943194263,0.00848140460026314,0.010220604917581668,2455
0.4,60,0.2987421197560951,-1.3770458807213952,0.034049152029298015,0.00530916569209745,0.031951848754697,2399
0.4,75,1.0,1.0,1.0,0.0,0.0,0
10.0,15,0.7968908316160412,0.7354641631494253,0.5492205302737487,0.024738695178016162,0.002148126591062926,2500
10.0,30,0.789070996284915,0.6003898816702139,0.4615875879414543,0.014723216592482092,0.003252608821145601,2500
10.0,45,0.5723091757283034,0.4370282218357274,0.42605987410682117,0.010384917256533233,0.005432581480692546,2500
10.0,60,0.34152741384671237,-0.4119228135945573,0.2219469164058176,0.006102328370921567,0.015359235570225453,2500
10.0,75,0.13144810594235856,-2.4476089992603565,0.05722251256954493,0.0017421552785367958,0.037676985905823336,743
1.0,15,0.6697438573090144,0.594971717774784,0.4140509664345266,0.026238580873768323,0.004729117593894375,2500
1.0,30,0.4791335273505457,0.6372971443328099,0.4799863983829248,0.013362079417742458,0.003515786164250108,2499
1.0,45,0.3993996999242938,0.2015758944659913,0.26031991226894785,0.00911680292673803,0.008189588650919961,2500
1.0,60,0.22871866580453393,0.14200827523156764,0.3049376713731372,0.004301649537410537,0.013168075506174498,2217
1.0,75,1.0,1.0,1.0,0.0,0.0,0
2.0,15,0.666283937861364,0.6552917005879285,0.4373137268095128,0.028352981110268894,0.0027870132956923726,2500
2.0,30,0.5790187952224413,0.47979273852655674,0.33417560748587677,0.014389836464172353,0.004039351994829175,2500
2.0,45,0.4204763566641907,0.32615067143962984,0.3328351604378887,0.008811030935242542,0.006705144305675225,2500
2.0,60,0.2773382412116727,-0.4349409620891292,0.17861257930379576,0.005712804797683499,0.01663067123717449,2494
2.0,75,1.0,1.0,1.0,0.0,0.0,0
5.0,15,0.7562336635856324,0.7917464570060788,0.6188601662981139,0.024341842544703875,0.0020526988059985643,2500
5.0,30,0.7423670180320733,0.5158759927524679,0.3935774204883483,0.013033584502426301,0.0039377399989504284,2500
5.0,45,0.544790860706543,0.22403840825837426,0.3212403868124734,0.00989296206094086,0.00656114087956,2500
5.0,60,0.24427491491385422,0.11369685161329958,0.29695263787614096,0.004193317889313546,0.011335919396979591,2444
5.0,75,1.0,1.0,1.0,0.0,0.0,0
